drive,config,rw,bw_mbps
ssd,01-ext4,rnd-4k-q32-t16-read,2380.85
ssd,01-ext4,rnd-4k-q32-t16-write,2227.16
ssd,01-ext4,seq-1m-q8-t1-read,3282.54
ssd,01-ext4,seq-1m-q8-t1-write,2339.23
ssd,02-ext4+integrity,rnd-4k-q32-t16-read,1307.94
ssd,02-ext4+integrity,rnd-4k-q32-t16-write,670.58
ssd,02-ext4+integrity,seq-1m-q8-t1-read,3200.28
ssd,02-ext4+integrity,seq-1m-q8-t1-write,1206.05
ssd,05-ext4+crypt,rnd-4k-q32-t16-read,2388.25
ssd,05-ext4+crypt,rnd-4k-q32-t16-write,2250.34
ssd,05-ext4+crypt,seq-1m-q8-t1-read,1035.69
ssd,05-ext4+crypt,seq-1m-q8-t1-write,971.5
ssd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-read,1058.62
ssd,06-ext4+crypt[integrity-hmac-sha256],rnd-4k-q32-t16-write,286.44
ssd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-read,700.75
ssd,06-ext4+crypt[integrity-hmac-sha256],seq-1m-q8-t1-write,204.1
ssd,07-ext4+crypt+integrity,rnd-4k-q32-t16-read,1298.67
ssd,07-ext4+crypt+integrity,rnd-4k-q32-t16-write,655.17
ssd,07-ext4+crypt+integrity,seq-1m-q8-t1-read,2959.19
ssd,07-ext4+crypt+integrity,seq-1m-q8-t1-write,1231.07
ssd,20-ext4+journal,rnd-4k-q32-t16-read,15373.83
ssd,20-ext4+journal,rnd-4k-q32-t16-write,196.73
ssd,20-ext4+journal,seq-1m-q8-t1-read,8613.97
ssd,20-ext4+journal,seq-1m-q8-t1-write,739.67
